Date,Open,High,Low,Close,Volume
2020-10-15,270000,351000,253500,258000,6557212
2020-10-16,253000,253000,199000,200500,4504395
2020-10-19,198500,202500,187000,189000,1977996
2020-10-20,190000,193500,176000,182500,1811616
2020-10-21,180500,185500,177000,179000,1658643
2020-10-22,176500,185000,175500,180000,1193994
2020-10-23,183000,184000,171500,172500,905547
2020-10-26,173000,173500,156000,156000,987951
2020-10-27,154500,166000,152500,162500,1118487
2020-10-28,161500,163500,157500,158500,581195
2020-10-29,155500,161500,154500,157000,518248
2020-10-30,149000,151500,142000,142000,1142310
2020-11-02,142500,146500,141000,143500,412881
2020-11-03,144500,152000,144500,152000,689435
2020-11-04,153500,153500,147000,149000,329773
2020-11-05,150500,173000,150000,164000,1565701
2020-11-06,164500,166000,159500,162000,413106
2020-11-09,164000,169500,161000,163000,429226
2020-11-10,168500,171500,166500,168000,491183
2020-11-11,170500,172000,163000,164000,295999
2020-11-12,164000,164000,156000,157500,326268
2020-11-13,156500,162500,156000,160000,224605
2020-11-16,155500,172000,154500,171500,1162127
2020-11-17,169000,183000,165500,179500,925185
2020-11-18,181500,185500,178000,181500,418979
2020-11-19,181500,182500,176000,180000,287615
2020-11-20,182000,193000,178000,184500,822190
2020-11-23,185000,186000,178000,179500,349569
